,DATE,거래단위,평균가격,총거래물량,총거래금액,도매시장,산지-광역시도,1kg_평균가격,1kg_물량,Year,Month
65,2024-11-01,20kg상자,16387.5,10560.0,8652600,대전오정도매,충청남도,819.375,211200.0,2024,11
66,2024-11-01,20kg상자,20229.7480620155,10320.0,10438550,창원팔용도매시장,강원도,1011.487403100775,206400.0,2024,11
67,2024-11-01,20kg상자,25345.02923976608,10260.0,13002000,인천구월도매,경기도,1267.251461988304,205200.0,2024,11
68,2024-11-01,20kg파렛트,24000.0,10180.0,12216000,인천삼산도매,전라북도,1200.0,203600.0,2024,11
69,2024-11-01,20kg파렛트,16916.50099403578,10060.0,8509000,인천삼산도매,충청남도,845.8250497017891,201200.0,2024,11
70,2024-11-01,20kg상자,19622.31075697211,10040.0,9850400,안산도매시장,전라북도,981.1155378486055,200800.0,2024,11
71,2024-11-01,20kg파렛트,22168.0,10000.0,11084000,인천구월도매,전라북도,1108.4,200000.0,2024,11
72,2024-11-01,20kg파렛트,13619.0380761523,9980.0,6795900,대전노은도매,전라남도,680.9519038076149,199600.0,2024,11
73,2024-11-01,20kg상자,17000.0,9620.0,8177000,인천구월도매,제주도,850.0,192400.0,2024,11
74,2024-11-01,20kg상자,21000.0,9440.0,9912000,안양도매시장,충청남도,1050.0,188800.0,2024,11
75,2024-11-01,20kg파렛트,21143.28358208955,9380.0,9916200,서울가락도매,충청남도,1057.164179104477,187600.0,2024,11
76,2024-11-01,20kg파렛트,20000.0,9220.0,9220000,순천도매시장,전라남도,1000.0,184400.0,2024,11
77,2024-11-01,20kg상자,24000.0,9200.0,11040000,인천구월도매,전라남도,1200.0,184000.0,2024,11
78,2024-11-01,20kg상자,21545.19015659955,8940.0,9630700,부산반여도매,부산광역시,1077.259507829978,178800.0,2024,11
79,2024-11-01,20kg상자,18479.85611510791,8340.0,7706100,서울강서도매,전라북도,923.9928057553955,166800.0,2024,11
80,2024-11-01,20kg.,14000.0,8340.0,5838000,수원도매시장,전라북도,700.0,166800.0,2024,11
81,2024-11-01,20kg상자,15640.09661835749,8280.0,6475000,인천삼산도매,충청북도,782.0048309178744,165600.0,2024,11
82,2024-11-01,20kg상자,19556.58536585366,8200.0,8018200,대전오정도매,경기도,977.8292682926831,164000.0,2024,11
83,2024-11-01,20kg상자,13506.57894736842,7600.0,5132500,구리도매시장,강원도,675.328947368421,152000.0,2024,11
84,2024-11-01,20kg상자,19933.33333333333,7500.0,7475000,서울강서도매,경상북도,996.6666666666664,150000.0,2024,11
85,2024-11-01,20kg파렛트,16697.47899159664,7140.0,5961000,순천도매시장,강원도,834.873949579832,142800.0,2024,11
86,2024-11-01,20kg상자,16652.46376811594,6900.0,5745100,부산반여도매,경상북도,832.623188405797,138000.0,2024,11
87,2024-11-01,20kg파렛트,23000.0,6700.0,7705000,인천삼산도매,전라남도,1150.0,134000.0,2024,11
88,2024-11-01,20kg상자,12086.60130718954,6120.0,3698500,광주서부도매,전라북도,604.330065359477,122400.0,2024,11
89,2024-11-01,15kg상자,13150.56818181818,5280.0,4629000,부산반여도매,강원도,876.7045454545454,79200.0,2024,11
90,2024-11-01,10kg상자,16952.18253968254,5040.0,8543900,구리도매시장,강원도,1695.218253968254,50400.0,2024,11
92,2024-11-01,20kg파렛트,14000.0,4320.0,3024000,순천도매시장,충청북도,700.0,86400.0,2024,11
93,2024-11-01,20kg파렛트,23117.30769230769,4160.0,4808400,대전노은도매,충청남도,1155.865384615385,83200.0,2024,11
94,2024-11-01,20kg상자,15261.46341463415,4100.0,3128600,대전노은도매,강원도,763.0731707317075,82000.0,2024,11
95,2024-11-01,20kg상자,12641.46341463415,4100.0,2591500,인천구월도매,충청북도,632.0731707317075,82000.0,2024,11
96,2024-11-01,20kg상자,17390.72164948453,3880.0,3373800,울산도매시장,경상북도,869.5360824742265,77600.0,2024,11
97,2024-11-01,20kg상자,17406.25,3840.0,3342000,창원팔용도매시장,부산광역시,870.3125,76800.0,2024,11
98,2024-11-01,20kg상자,15050.81967213115,3660.0,2754300,천안도매시장,충청남도,752.5409836065576,73200.0,2024,11
99,2024-11-01,17kg상자,10889.69072164948,3298.0,2112600,부산반여도매,경상북도,640.5700424499694,56066.0,2024,11
100,2024-11-01,15kg상자,13757.60869565217,2760.0,2531400,울산도매시장,강원도,917.173913043478,41400.0,2024,11
101,2024-11-01,19kg상자,15500.0,2394.0,1953000,부산반여도매,부산광역시,815.7894736842105,45486.0,2024,11
102,2024-11-01,17kg상자,13587.68115942029,2346.0,1875100,부산반여도매,강원도,799.2753623188406,39882.0,2024,11
103,2024-11-01,20kg파렛트,11157.8947368421,2280.0,1272000,광주서부도매,광주광역시,557.894736842105,45600.0,2024,11
104,2024-11-01,15kg상자,14000.0,2250.0,2100000,부산반여도매,부산광역시,933.3333333333334,33750.0,2024,11
105,2024-11-01,18kg상자,14825.61983471074,2178.0,1793900,부산반여도매,강원도,823.6455463728189,39204.0,2024,11
106,2024-11-01,15kg상자,10046.52777777778,2160.0,1446700,부산반여도매,경상북도,669.7685185185186,32400.0,2024,11
107,2024-11-01,16kg상자,16588.0,2000.0,2073500,울산도매시장,강원도,1036.75,32000.0,2024,11
108,2024-11-01,20kg상자,9228.0,2000.0,922800,천안도매시장,경기도,461.4,40000.0,2024,11
109,2024-11-01,18kg상자,20350.0,1800.0,2035000,부산반여도매,경상남도,1130.555555555556,32400.0,2024,11
110,2024-11-01,20kg상자,11034.48275862069,1740.0,960000,인천삼산도매,강원도,551.7241379310345,34800.0,2024,11
111,2024-11-01,20kg파렛트,15097.56097560976,1640.0,1238000,광주서부도매,전라북도,754.878048780488,32800.0,2024,11
112,2024-11-01,18kg상자,13071.76470588235,1530.0,1111100,부산반여도매,경상북도,726.2091503267972,27540.0,2024,11
113,2024-11-01,14kg상자,17412.5,1456.0,1810900,울산도매시장,강원도,1243.75,20384.0,2024,11
114,2024-11-01,20kg상자,17257.14285714286,1400.0,1208000,울산도매시장,강원도,862.8571428571429,28000.0,2024,11
115,2024-11-01,20kg상자,14000.0,1400.0,980000,광주각화도매,광주광역시,700.0,28000.0,2024,11
