DATE,거래단위,도매시장,산지-광역시도,등급,단위_무게(kg),1kg_물량,1kg_평균가격,weighted_price,광역시도,평균기온,평균풍속,평균강수량,Month,z_score
2024-01-01,10kg그물망,광주각화도매,전라남도,특,10,74400,407.4462365591398,30314000.0,전라남도,3.31,2.88,42.0,1,-0.7371148008032856
2024-01-01,10kg그물망,광주각화도매,전라남도,특,10,42700,400.0,17080000.0,전라남도,3.31,2.88,42.0,1,-0.75775531822076
2024-01-01,10kg그물망,광주각화도매,전라남도,특,10,37100,367.0350404312669,13617000.000000002,전라남도,3.31,2.88,42.0,1,-0.8491321925304557
2023-01-01,10kg그물망,광주각화도매,전라남도,특,10,426500,457.4091441969519,195085000.0,전라남도,2.02,2.91,49.16,1,-0.5986206424273847
2023-01-01,10kg그물망,광주각화도매,전라남도,특,10,291700,376.3729859444635,109788000.0,전라남도,2.02,2.91,49.16,1,-0.8232479722968149
2023-01-01,10kg그물망,광주각화도매,전라남도,특,10,59000,484.5593220338983,28589000.0,전라남도,2.02,2.91,49.16,1,-0.5233619914188865
2023-01-01,10kg그물망,광주각화도매,전라남도,특,10,5000,370.0,1850000.0,전라남도,2.02,2.91,49.16,1,-0.8409135039171554
2022-01-01,10kg그물망,광주각화도매,전라남도,특,10,5600,430.0,2408000.0,전라남도,1.73,2.8,3.06,1,-0.6745971325243647
2021-01-01,10kg그물망,광주각화도매,전라남도,특,10,449300,637.422657467171,286393999.99999994,전라남도,1.84,2.69,36.6,1,-0.09963407028120465
2021-01-01,10kg그물망,광주각화도매,전라남도,특,10,189800,515.1264488935722,97771000.0,전라남도,1.84,2.69,36.6,1,-0.43863176436548545
2021-01-01,10kg그물망,광주각화도매,전라남도,특,10,77300,640.7373868046573,49529000.00000001,전라남도,1.84,2.69,36.6,1,-0.09044584102187228
2021-01-01,10kg그물망,광주각화도매,전라남도,특,10,28100,683.914590747331,19218000.0,전라남도,1.84,2.69,36.6,1,0.029238757088660795
2021-01-01,10kg그물망,광주각화도매,전라남도,특,10,19600,773.265306122449,15156000.000000002,전라남도,1.84,2.69,36.6,1,0.2769135364643218
2021-01-01,10kg그물망,광주각화도매,전라남도,특,10,19000,720.0,13680000.0,전라남도,1.84,2.69,36.6,1,0.12926532920745654
2020-01-01,10kg그물망,광주각화도매,전라남도,특,10,101900,524.2492639842983,53421000.0,전라남도,4.65,2.77,77.65,1,-0.4133438726525361
2020-01-01,10kg그물망,광주각화도매,전라남도,특,10,23600,683.6864406779661,16134999.999999998,전라남도,4.65,2.77,77.65,1,0.02860633889416436
2020-01-01,10kg그물망,광주각화도매,전라남도,특,10,5700,694.7368421052631,3960000.0,전라남도,4.65,2.77,77.65,1,0.05923738335786038
2020-01-01,10kg그물망,광주각화도매,전라남도,특,10,5200,927.8846153846156,4825000.0,전라남도,4.65,2.77,77.65,1,0.7055089108600425
2024-01-01,10kg상자,광주각화도매,전라남도,특,10,6200,381.9354838709678,2368000.0000000005,전라남도,3.31,2.88,42.0,1,-0.8078290644465463
2024-01-01,10kg파렛트,광주각화도매,전라남도,특,10,912700,473.2935247069136,431975000.00000006,전라남도,3.31,2.88,42.0,1,-0.5545901002900647
2024-01-01,10kg파렛트,광주각화도매,전라남도,특,10,354000,440.0,155760000.0,전라남도,3.31,2.88,42.0,1,-0.646877737292233
2024-01-01,10kg파렛트,광주각화도매,전라남도,특,10,275400,465.958605664488,128325000.0,전라남도,3.31,2.88,42.0,1,-0.5749220522833333
2024-01-01,10kg파렛트,광주각화도매,전라남도,특,10,53000,371.6037735849057,19695000.000000004,전라남도,3.31,2.88,42.0,1,-0.8364679405308699
2024-01-01,10kg파렛트,광주각화도매,전라남도,특,10,47600,585.2941176470588,27860000.0,전라남도,3.31,2.88,42.0,1,-0.24413123009596563
2024-01-01,10kg파렛트,광주각화도매,전라남도,특,10,30500,536.0,16348000.0,전라남도,3.31,2.88,42.0,1,-0.380771543063768
2024-01-01,10kg파렛트,광주각화도매,전라남도,특,10,1000,400.0,400000.0,전라남도,3.31,2.88,42.0,1,-0.75775531822076
2023-01-01,10kg파렛트,광주각화도매,전라남도,특,10,718700,381.1270349241686,273915999.99999994,전라남도,2.02,2.91,49.16,1,-0.8100700360346791
2023-01-01,10kg파렛트,광주각화도매,전라남도,특,10,437900,452.694679150491,198235000.00000003,전라남도,2.02,2.91,49.16,1,-0.6116888544204766
2023-01-01,10kg파렛트,광주각화도매,전라남도,특,10,428300,458.529068409993,196388000.0,전라남도,2.02,2.91,49.16,1,-0.5955162802382526
2023-01-01,10kg파렛트,광주각화도매,전라남도,특,10,239200,386.26254180602,92394000.0,전라남도,2.02,2.91,49.16,1,-0.7958347215371419
2022-01-01,10kg파렛트,광주각화도매,전라남도,특,10,63700,436.1695447409733,27784000.0,전라남도,1.73,2.8,3.06,1,-0.6574955276166288
2021-01-01,10kg그물망,광주각화도매,전라북도,특,10,4700,450.0,2115000.0,전라북도,-1.38,2.3,28.63,1,-0.6191583420601012
2022-01-01,10kg파렛트,광주각화도매,전라북도,특,10,73200,404.3579234972678,29599000.000000004,전라북도,-1.38,2.11,2.87,1,-0.745675417839544
2022-01-01,8kg그물망,광주각화도매,제주도,특,8,24000,484.4,11625600.0,제주도,3.47,3.91,39.99,1,-0.523803622461568
2020-01-01,8kg그물망,광주각화도매,제주도,특,8,33664,693.0608365019011,23331200.0,제주도,6.06,3.9,163.16,1,0.05459159718477451
2021-01-01,8kg상자,광주각화도매,제주도,특,8,35520,621.6216216216217,22080000.0,제주도,4.19,4.14,100.17,1,-0.143433586049191
2020-01-01,8kg상자,광주각화도매,제주도,특,8,1024,787.5,806400.0,제주도,6.06,3.9,163.16,1,0.31637124702434594
2024-01-01,8kg파렛트,광주각화도매,제주도,특,8,27392,411.3609813084112,11268000.0,제주도,5.06,4.04,98.48,1,-0.7262633651094889
2023-01-01,8kg파렛트,광주각화도매,제주도,특,8,320,1000.0,320000.0,제주도,3.88,4.14,106.68,1,0.905408395707146
2021-01-01,8kg파렛트,광주각화도매,제주도,특,8,909056,703.5474162207829,639564000.0,제주도,4.19,4.14,100.17,1,0.08365976197086865
2020-01-01,8kg파렛트,광주각화도매,제주도,특,8,539840,739.6043272080617,399268000.00000006,제주도,6.06,3.9,163.16,1,0.1836073386214862
2024-01-01,10kg그물망,광주각화도매,제주도,특,10,450200,557.6832518880498,251069000.0,제주도,5.06,4.04,98.48,1,-0.3206668801634961
2024-01-01,10kg그물망,광주각화도매,제주도,특,10,252400,508.4350237717908,128329000.0,제주도,5.06,4.04,98.48,1,-0.4571799901271728
2024-01-01,10kg그물망,광주각화도매,제주도,특,10,41000,367.7804878048781,15079000.000000002,제주도,5.06,4.04,98.48,1,-0.8470658574930674
2023-01-01,10kg그물망,광주각화도매,제주도,특,10,126700,655.3433307024467,83032000.0,제주도,3.88,4.14,106.68,1,-0.04995904785775547
2023-01-01,10kg그물망,광주각화도매,제주도,특,10,4400,431.8181818181818,1900000.0,제주도,3.88,4.14,106.68,1,-0.669557242482159
2022-01-01,10kg그물망,광주각화도매,제주도,특,10,231500,333.9179265658748,77302000.00000001,제주도,3.47,3.91,39.99,1,-0.9409308293486872
2021-01-01,10kg그물망,광주각화도매,제주도,특,10,333000,791.9909909909909,263733000.0,제주도,4.19,4.14,100.17,1,0.32882000245066795
2021-01-01,10kg그물망,광주각화도매,제주도,특,10,197900,551.844365841334,109210000.0,제주도,4.19,4.14,100.17,1,-0.3368519191679254
2021-01-01,10kg그물망,광주각화도매,제주도,특,10,104400,658.2662835249041,68722999.99999999,제주도,4.19,4.14,100.17,1,-0.041856799404698206
2021-01-01,10kg그물망,광주각화도매,제주도,특,10,95600,858.305439330544,82054000.0,제주도,4.19,4.14,100.17,1,0.5126396427631537
2021-01-01,10kg그물망,광주각화도매,제주도,특,10,7200,658.1944444444445,4739000.0,제주도,4.19,4.14,100.17,1,-0.042055932991135615
2020-01-01,10kg그물망,광주각화도매,제주도,특,10,760600,610.5982119379437,464421000.0,제주도,6.06,3.9,163.16,1,-0.17398981103194885
2020-01-01,10kg그물망,광주각화도매,제주도,특,10,53800,600.0,32280000.0,제주도,6.06,3.9,163.16,1,-0.20336741357812468
2020-01-01,10kg상자,광주각화도매,제주도,특,10,600,1100.0,660000.0,제주도,6.06,3.9,163.16,1,1.1826023480284638
2024-01-01,10kg파렛트,광주각화도매,제주도,특,10,289300,476.9270653301072,137975000.00000003,제주도,5.06,4.04,98.48,1,-0.5445181454274337
2024-01-01,10kg파렛트,광주각화도매,제주도,특,10,115500,498.1298701298701,57533999.99999999,제주도,5.06,4.04,98.48,1,-0.485745252799997
2024-01-01,10kg파렛트,광주각화도매,제주도,특,10,97600,663.125,64721000.0,제주도,5.06,4.04,98.48,1,-0.028388731175292902
2023-01-01,10kg파렛트,광주각화도매,제주도,특,10,187800,584.7923322683706,109824000.0,제주도,3.88,4.14,106.68,1,-0.24552214881932186
2023-01-01,10kg파렛트,광주각화도매,제주도,특,10,43300,854.7806004618939,37012000.00000001,제주도,3.88,4.14,106.68,1,0.5028690025901843
2023-01-01,10kg파렛트,광주각화도매,제주도,특,10,31700,323.3438485804417,10250000.000000002,제주도,3.88,4.14,106.68,1,-0.9702415340380475
2022-01-01,10kg파렛트,광주각화도매,제주도,특,10,92300,349.2957746478873,32240000.0,제주도,3.47,3.91,39.99,1,-0.8983043644681887
2022-01-01,10kg파렛트,광주각화도매,제주도,특,10,35100,313.4757834757835,11003000.0,제주도,3.47,3.91,39.99,1,-0.9975952137192904
